Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
1996,1,18,4,2117,2120,2305,2259,HP,415,N637AW,108,99,85,6,-3,COS,PHX,551,5,18,0,,0
1996,1,12,5,1252,1245,1511,1500,HP,610,N905AW,79,75,58,11,7,LAX,PHX,370,3,18,0,,0
1996,1,16,2,1441,1445,1708,1721,HP,211,N165AW,87,96,74,-13,-4,RNO,PHX,601,4,9,0,,0
1996,1,1,1,2258,2300,2336,2335,HP,1245,N183AW,38,35,20,1,-2,TUS,PHX,110,6,12,0,,0
1996,1,4,4,1814,1814,1901,1910,US,683,N963VJ,47,56,34,-9,0,DTW,PIT,201,6,7,0,,0
1996,1,31,3,1822,1820,1934,1925,US,757,N912VJ,72,65,52,9,2,PHL,PIT,267,6,14,0,,0
1996,1,18,4,729,730,841,843,US,1564,N941VJ,72,73,58,-2,-1,DCA,PVD,357,3,11,0,,0
1996,1,26,5,1704,1705,1829,1839,NW,1538,N960N,85,94,69,-10,-1,DTW,RIC,456,3,13,0,,0
1996,1,11,4,1858,1850,1959,1956,US,2225,N351US,61,66,48,3,8,PHL,ROC,257,2,11,0,,0
1996,1,7,7,2100,2100,2215,2220,WN,174,N677,75,80,65,-5,0,OAK,SAN,446,3,7,0,,0
1996,1,16,2,1715,1715,1805,1810,WN,167,N20,50,55,41,-5,0,DAL,SAT,248,2,7,0,,0
1996,1,30,2,1205,1210,1312,1322,CO,1127,N10236,67,72,52,-10,-5,CLE,SDF,304,4,11,0,,0
1996,1,8,1,1232,1232,1520,1517,AS,62,N755AS,108,105,94,3,0,KTN,SEA,680,5,9,0,,0
1996,1,30,2,1558,1600,1744,1757,UA,2410,N310UA,106,117,92,-13,-2,SFO,SEA,679,3,11,0,,0
1996,1,14,7,2331,2325,616,605,UA,132,N4714U,285,280,263,11,6,HNL,SFO,2398,5,17,0,,0
1996,1,7,7,1513,0,1738,0,AA,83,N339AA,265,268,246,10,13,ORD,SFO,1846,2,17,0,,0
1996,1,27,6,711,710,814,802,UA,1053,N360UA,123,112,100,12,1,SLC,SFO,599,6,17,0,,0
1996,1,12,5,635,635,846,840,WN,648,N357,131,125,113,6,0,SEA,SJC,697,2,16,0,,0
1996,1,29,1,1544,0,1732,0,AA,1267,N822AA,168,158,148,12,2,DFW,SLC,988,5,15,0,,0
1996,1,12,5,1308,1300,1539,1530,DL,1908,N302WA,91,90,74,9,8,PSP,SLC,541,7,10,0,,0
1996,1,16,2,1207,1207,1355,1346,AS,84,N760AS,108,99,92,9,0,SEA,SMF,605,5,11,0,,0
1996,1,2,2,914,840,1105,1005,DL,1537,N620DL,111,85,67,60,34,ATL,SRQ,445,3,41,0,,0
1996,1,11,4,1121,0,1326,0,AA,426,N2CFAA,125,102,94,64,41,DFW,STL,551,6,25,0,,0
1996,1,10,3,1629,1625,1743,1735,WN,492,N20,74,70,61,8,4,LIT,STL,296,2,11,0,,0
1996,1,1,1,1240,1220,1345,1335,TW,675,N928L,65,75,48,10,20,ORD,STL,258,7,10,0,,0
1996,1,24,3,2149,2150,2241,2247,NW,1241,N965N,52,57,40,-6,-1,MSP,SUX,234,4,8,0,,0
1996,1,20,6,910,900,1102,1041,CO,1069,N44214,112,101,88,21,10,GSO,TPA,580,3,21,0,,0
1996,1,3,3,1436,0,1552,0,AA,1997,N427AA,136,140,114,16,20,DFW,TUS,813,5,17,0,,0
1996,1,29,1,1825,1825,1943,1945,WN,230,N667,78,80,60,-2,0,SMF,LAX,373,7,11,0,,0
1996,1,15,1,1242,1230,1332,1321,DL,1752,N413DA,50,51,35,11,12,DCA,LGA,214,4,11,0,,0
1996,1,2,2,1152,1100,1434,1355,UA,688,N422UA,102,115,87,39,52,ORD,LGA,733,5,10,0,,0
1996,1,16,2,,2000,,2125,CO,1071,UNKNOW,,85,,,,IAH,MAF,429,0,0,1,,0
1996,1,10,3,1528,1440,2058,2000,US,411,N391US,210,200,191,58,48,SFO,MCI,1499,6,13,0,,0
1996,1,1,1,1103,1105,1333,1313,US,2002,N288AU,150,128,132,20,-2,IAD,MCO,758,9,9,0,,0
1996,1,10,3,1515,1520,1533,1530,CO,1507,N14209,78,70,55,3,-5,CLE,MDW,307,8,15,0,,0
1996,1,11,4,701,700,755,757,NW,854,N949N,54,57,42,-2,1,B,MEM,200,3,9,0,,0
1996,1,17,3,1154,1155,1254,1302,CO,1675,N16617,60,67,47,-8,-1,IAH,MFE,316,3,10,0,,0
1996,1,2,2,2107,1625,132,1928,TW,189,N54353,265,183,173,364,282,JFK,MIA,1090,7,85,0,,0
1996,1,28,7,1213,1210,1330,1335,DL,929,N959DL,77,85,58,-5,3,ATL,MLB,443,5,14,0,,0
1996,1,5,5,842,835,1121,1125,UA,204,N994UA,99,110,86,-4,7,DEN,MSP,680,3,10,0,,0
1996,1,3,3,1452,1455,1608,1614,NW,557,N293US,76,79,60,-6,-3,MDW,MSP,349,4,12,0,,0
1996,1,10,3,1521,1525,2051,2048,NW,156,N514US,210,203,194,3,-4,SEA,MSP,1399,4,12,0,,0
1996,1,11,4,2309,2310,6,6,CO,1916,N14308,57,56,43,0,-1,IAH,MSY,305,5,9,0,,0
1996,1,20,6,1156,1145,1306,1255,WN,517,N327,70,70,62,11,11,ONT,OAK,361,2,6,0,,0
1996,1,28,7,,1415,,1542,NW,795,N925US,,87,,,,MEM,OKC,432,0,0,1,,0
1996,1,23,2,1850,1850,1855,1855,WN,394,N528,65,65,56,0,0,PHX,ONT,325,1,8,0,,0
1996,1,4,4,,0,,0,AA,1581,UNKNOW,,,,,,BOS,ORD,867,0,0,1,,0
1996,1,8,1,1045,1040,1349,1358,UA,756,N1815U,124,138,105,-9,5,DEN,ORD,888,4,15,0,,0
1996,1,28,7,2107,2110,2318,2327,CO,162,N73385,131,137,114,-9,-3,IAH,ORD,925,7,10,0,,0
1996,1,15,1,1911,1905,2047,2045,UA,1259,N7269U,156,160,139,2,6,MCO,ORD,1005,5,12,0,,0
1996,1,7,7,,1320,,1433,UA,773,UNKNOW,,133,,,,PHL,ORD,678,0,0,1,,0
1996,1,5,5,916,915,1513,1512,UA,678,N7445U,237,237,213,1,1,SJC,ORD,1829,7,17,0,,0
1996,1,11,4,1737,1733,1915,1915,DL,1819,N111DN,98,102,76,0,4,ATL,PBI,545,4,18,0,,0
1996,1,23,2,1555,1555,1734,1725,WN,1705,N358,99,90,86,9,0,OAK,PDX,543,3,10,0,,0
1996,1,28,7,2149,2145,2310,2312,US,489,N617AU,81,87,61,-2,4,CLT,PHL,448,8,12,0,,0
1996,1,11,4,835,830,1516,1452,US,164,N516AU,281,262,260,24,5,PHX,PHL,2075,3,18,0,,0
1996,1,28,7,1152,1150,1308,1300,DL,161,N912DL,136,130,118,8,2,ATL,DFW,732,5,13,0,,0
1996,1,10,3,856,0,1147,0,AA,1472,N455AA,111,126,84,-14,1,DEN,DFW,641,10,17,0,,0
1996,1,29,1,1750,0,2206,0,AA,884,N470AA,136,150,121,-14,0,LAS,DFW,1055,6,9,0,,0
1996,1,6,6,831,0,1002,0,AA,1593,N407AA,91,98,73,-9,-2,MSY,DFW,448,9,9,0,,0
1996,1,31,3,850,0,1334,0,AA,2002,N446AA,164,175,136,-11,0,SAN,DFW,1171,15,13,0,,0
1996,1,19,5,250,0,534,0,AA,2361,N460AA,104,111,91,-12,-5,TUS,DFW,813,4,9,0,,0
1996,1,5,5,1535,1530,2006,2006,UA,328,N537UA,151,156,129,0,5,DEN,DTW,1123,6,16,0,,0
1996,1,11,4,2034,1935,2240,2140,NW,1410,N89S,66,65,38,60,59,MDW,DTW,229,17,11,0,,0
1996,1,1,1,2019,2020,2143,2143,NW,1501,N8957E,84,83,62,0,-1,ROC,DTW,296,5,17,0,,0
1996,1,31,3,1542,1544,1643,1648,HP,428,N141AW,61,64,50,-5,-2,PHX,ELP,347,3,8,0,,0
1996,1,28,7,809,0,1209,0,AA,1058,N274AA,180,201,158,-19,2,DFW,EWR,1372,7,15,0,,0
1996,1,9,2,1750,1730,2117,2031,UA,658,N7260U,147,121,122,46,20,ORD,EWR,719,6,19,0,,0
1996,1,15,1,1529,1515,2110,2102,UA,1590,N332UA,221,227,198,8,14,DEN,FLL,1703,3,20,0,,0
1996,1,15,1,1716,1710,1815,1815,DL,1961,N326DL,59,65,46,0,6,ATL,GNV,300,3,10,0,,0
1996,1,31,3,1830,1830,2013,2010,US,835,N973VJ,103,100,89,3,0,PHL,GSP,514,5,9,0,,0
1996,1,22,1,1515,1515,1608,1610,WN,42,N53,53,55,43,-2,0,HRL,HOU,276,4,6,0,,0
1996,1,27,6,1334,1333,1523,1530,DL,1232,N989DL,109,117,66,-7,1,ATL,IAD,533,5,38,0,,0
1996,1,30,2,1147,1150,1336,1348,CO,1101,N12514,109,118,95,-12,-3,B,IAH,657,4,10,0,,0
1996,1,6,6,130,125,627,623,CO,1856,N15820,177,178,159,4,5,LAX,IAH,1379,4,14,0,,0
1996,1,29,1,1845,1805,2009,1925,CO,1767,N12327,144,140,124,44,40,SDF,IAH,788,6,14,0,,0
1996,1,26,5,1315,1315,1556,1551,NW,1266,N728RW,101,96,73,5,0,MSP,IND,503,7,21,0,,0
1996,1,29,1,1309,1305,1745,1725,DL,1980,N171DN,216,200,164,20,4,DFW,JFK,1391,25,27,0,,0
1996,1,22,1,2211,2215,2329,2328,HP,739,N901AW,258,253,246,1,-4,ATL,LAS,1747,3,9,0,,0
1996,1,2,2,931,925,1014,1046,NW,719,N533US,163,201,148,-32,6,MSP,LAS,1300,4,11,0,,0
1996,1,27,6,2109,2100,2218,2219,UA,2196,N942UA,69,79,53,-1,9,SFO,LAS,414,4,12,0,,0
1996,1,26,5,1100,1100,1406,1355,CO,239,N57111,366,355,340,11,0,EWR,LAX,2454,7,19,0,,0
1996,1,17,3,2127,2005,2325,2208,NW,309,N635US,238,243,200,77,82,MSP,LAX,1536,7,31,0,,0
1996,1,9,2,1330,1330,1345,1350,WN,1042,N333,75,80,59,-5,0,PHX,LAX,370,5,11,0,,0
