Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
1996,6,15,6,2141,2130,2215,2204,US,100,N528AU,34,34,19,11,11,CLT,CAE,88,4,11,0,,0
1996,6,1,6,958,1000,1112,1120,CO,1648,N27610,74,80,62,-8,-2,GSO,CLE,381,3,9,0,,0
1996,6,9,7,932,935,1142,1145,US,994,N481US,70,70,58,-3,-3,BHM,CLT,351,7,5,0,,0
1996,6,13,4,1645,1643,1735,1735,US,353,N483US,50,52,41,0,2,ILM,CLT,185,3,6,0,,0
1996,6,10,1,652,635,804,740,US,755,N887US,72,65,60,24,17,RIC,CLT,256,3,9,0,,0
1996,6,26,3,1950,1950,2215,2228,NW,877,N93S,85,98,72,-13,0,MEM,CMH,518,6,7,0,,0
1996,6,19,3,1647,1650,1741,1747,DL,1179,N902DL,54,57,39,-6,-3,CLE,CVG,221,5,10,0,,0
1996,6,22,6,1449,1450,2110,2119,DL,1038,N918DE,201,209,187,-9,-1,PHX,CVG,1569,3,11,0,,0
1996,6,16,7,1730,1730,1820,1825,WN,48,N62,50,55,41,-5,0,HOU,DAL,239,4,5,0,,0
1996,6,2,7,1454,1440,1611,1559,US,1615,N270AU,77,79,61,12,14,BDL,DCA,313,5,11,0,,0
1996,6,24,1,621,625,737,750,US,2299,N354US,76,85,60,-13,-4,MHT,DCA,407,7,9,0,,0
1996,6,30,7,709,700,746,739,UA,305,N1825U,37,39,20,7,9,COS,DEN,72,4,13,0,,0
1996,6,3,1,1340,1340,1548,1549,UA,1221,N586UA,248,249,224,-1,0,MIA,DEN,1709,4,20,0,,0
1996,6,4,2,2018,2020,2133,2143,DL,870,N136DL,75,83,50,-10,-2,SLC,DEN,391,5,20,0,,0
1996,7,19,5,1012,1015,1115,1117,HP,98,N164AW,63,62,44,-2,-3,LAS,PHX,256,5,14,0,,0
1996,7,30,2,1330,1330,1433,1435,WN,628,N696,63,65,52,-2,0,ONT,PHX,325,4,7,0,,0
1996,7,19,5,2020,2020,2126,2126,HP,92,N168AW,66,66,52,0,0,S,PHX,338,5,9,0,,0
1996,7,30,2,1219,1215,1257,1302,US,644,N899US,38,47,30,-5,4,CRW,PIT,164,4,4,0,,0
1996,7,9,2,1039,1040,1247,1300,US,367,N981US,68,80,54,-13,-1,MKE,PIT,431,6,8,0,,0
1996,7,31,3,928,930,1002,1007,DL,2043,N312DL,34,37,23,-5,-2,GEG,PSC,120,2,9,0,,0
1996,7,1,1,,2105,,2219,US,1734,UNKNOW,,74,,,,PHL,RDU,336,0,0,1,,0
1996,7,16,2,2147,2150,2236,2245,US,1898,N265AU,49,55,34,-9,-3,PIT,ROA,219,5,10,0,,0
1996,7,5,5,946,945,1031,1048,CO,471,N92874,165,183,152,-17,1,IAH,SAN,1303,4,9,0,,0
1996,7,3,3,1241,1145,1357,1305,WN,489,N314,76,80,66,52,56,SMF,SAN,480,2,8,0,,0
1996,7,20,6,1340,1329,1436,1430,DL,1204,N658DL,56,61,35,6,11,ATL,SAV,215,5,16,0,,0
1996,7,28,7,2050,2037,2302,2247,AS,547,N936AS,132,130,115,15,13,BUR,SEA,937,7,10,0,,0
1996,7,11,4,2330,2235,111,14,AS,479,N773AS,101,99,83,57,55,OAK,SEA,671,5,13,0,,0
1996,7,12,5,903,859,1052,1050,DL,217,N123DN,289,291,272,2,4,ATL,SFO,2139,6,11,0,,0
1996,7,11,4,808,800,1116,1102,UA,809,N646UA,368,362,336,14,8,JFK,SFO,2586,10,22,0,,0
1996,7,2,2,1337,1340,1518,1520,UA,2114,N316UA,101,100,87,-2,-3,PDX,SFO,550,3,11,0,,0
1996,7,23,2,2129,2135,2217,2225,DL,1444,N986DL,48,50,35,-8,-6,JAN,SHV,220,5,8,0,,0
1996,7,28,7,1134,1125,1214,1214,DL,944,N302WA,100,109,86,0,9,SLC,SJC,585,4,10,0,,0
1996,7,17,3,1243,1235,1418,1408,AA,841,N2CFAA,155,153,139,10,8,DFW,SLC,988,3,13,0,,0
1996,7,28,7,659,655,925,916,DL,915,N303WA,86,81,70,9,4,PSC,SLC,521,7,9,0,,0
1996,7,1,1,2015,2015,2138,2140,WN,757,N608,83,85,65,-2,0,SAN,SMF,480,4,14,0,,0
1996,7,17,3,1858,1900,2021,2020,HP,775,N169AW,83,80,70,1,-2,SMF,S,404,5,8,0,,0
1996,7,9,2,1848,1848,2144,2150,TW,566,EI-CIW,116,122,89,-6,0,DEN,STL,770,9,18,0,,0
1996,7,10,3,559,600,700,706,TW,250,N410EA,61,66,50,-6,-1,LIT,STL,296,5,6,0,,0
1996,7,30,2,1000,945,1117,1057,TW,435,N64320,77,72,58,20,15,ORD,STL,258,8,11,0,,0
1996,7,29,1,1825,1825,1904,1851,TW,589,N973Z,99,86,73,13,0,TYS,STL,405,21,5,0,,0
1996,7,10,3,1625,1625,1714,1714,DL,807,N616DL,49,49,33,0,0,FLL,TPA,197,5,11,0,,0
1996,7,12,5,2007,1955,2110,2042,UA,589,N976UA,123,107,96,28,12,DEN,TUS,639,4,23,0,,0
1996,7,30,2,2202,2155,2314,2246,DL,471,N118DL,132,111,88,28,7,SLC,LAX,590,12,32,0,,0
1996,7,28,7,1648,1640,1829,1823,US,2412,N815US,101,103,78,6,8,CLT,LGA,544,5,18,0,,0
1996,7,4,4,1555,1600,1850,1906,AA,358,N402AA,115,126,98,-16,-5,ORD,LGA,733,5,12,0,,0
1996,7,25,4,1805,1805,1854,1900,WN,784,N90,49,55,42,-6,0,AUS,MAF,294,2,5,0,,0
1996,7,25,4,1557,1555,1708,1716,UA,761,N9022U,71,81,58,-8,2,ORD,MCI,403,4,9,0,,0
1996,7,5,5,848,850,1122,1135,CO,300,N937MC,154,165,131,-13,-2,EWR,MCO,938,4,19,0,,0
1996,7,6,6,2058,2100,2208,2216,NW,696,N93S,70,76,54,-8,-2,DTW,MDT,370,6,10,0,,0
1996,7,18,4,2300,2235,2350,2325,WN,946,N83,50,50,40,25,25,STL,MDW,251,5,5,0,,0
1996,7,9,2,1300,1300,1845,1904,NW,988,N512US,225,244,206,-19,0,SEA,MEM,1870,4,15,0,,0
1996,7,13,6,830,830,1210,1127,CO,579,N579PE,220,177,168,43,0,EWR,MIA,1086,7,45,0,,0
1996,7,3,3,1901,1830,2004,1942,NW,376,N529US,63,72,45,22,31,MSP,MKE,297,4,14,0,,0
1996,7,22,1,844,845,1025,1023,NW,837,N925US,161,158,136,2,-1,CLT,MSP,930,4,21,0,,0
1996,7,30,2,1659,1700,1834,1848,NW,397,N302RC,95,108,79,-14,-1,IND,MSP,503,6,10,0,,0
1996,7,18,4,1727,1725,2043,1915,NW,711,N521US,256,170,169,88,2,PHL,MSP,980,6,81,0,,0
1996,7,16,2,1736,1712,1916,1837,AA,2016,N717AA,100,85,78,39,24,DFW,MSY,448,3,19,0,,0
1996,7,3,3,653,650,801,758,UA,2200,N304UA,68,68,51,3,3,LAX,OAK,337,4,13,0,,0
1996,7,19,5,1853,1855,1927,1934,AA,161,N133AA,34,39,21,-7,-2,HNL,OGG,100,4,9,0,,0
1996,7,8,1,1533,1535,1609,1628,DL,1470,N492DA,156,173,138,-19,-2,DFW,ONT,1189,3,15,0,,0
1996,7,17,3,1836,1555,2025,1644,UA,1459,N7264U,169,109,143,221,161,ATL,ORD,606,5,21,0,,0
1996,7,5,5,2024,2020,2027,2035,DL,2093,N903DE,63,75,39,-8,4,CVG,ORD,264,6,18,0,,0
1996,7,23,2,656,700,819,818,CO,509,N12327,143,138,109,1,-4,EWR,ORD,719,7,27,0,,0
1996,7,17,3,634,630,745,734,AA,303,N624AA,131,124,113,11,4,LGA,ORD,733,6,12,0,,0
1996,7,1,1,1458,1500,1643,1618,UA,536,N9007U,105,78,53,25,-2,MSP,ORD,334,39,13,0,,0
1996,7,7,7,1715,1715,1749,1757,UA,453,N9039U,94,102,83,-8,0,ROC,ORD,528,4,7,0,,0
1996,7,11,4,1057,1056,1138,1145,UA,1473,N9001U,101,109,91,-7,1,SYR,ORD,607,3,7,0,,0
1996,7,25,4,2123,2030,2258,2153,DL,1297,N652DL,275,263,260,65,53,CVG,PDX,1975,4,11,0,,0
1996,7,11,4,1005,1005,1042,1050,WN,1052,N396,97,105,88,-8,0,SLC,PDX,630,3,6,0,,0
1996,7,15,1,816,815,1239,1229,CO,1790,N17619,203,194,163,10,1,IAH,PHL,1324,5,35,0,,0
1996,7,3,3,1844,1845,2203,2207,TW,108,N9404V,139,142,110,-4,-1,STL,PHL,813,4,25,0,,0
1996,7,15,1,1429,1428,1635,1626,AA,1323,N2BA,126,118,102,9,1,B,DFW,631,12,12,0,,0
1996,7,23,2,1717,1626,1956,1909,AA,1314,N2BEAA,99,103,78,47,51,ELP,DFW,551,11,10,0,,0
1996,7,24,3,1455,1500,1731,1741,AA,25,N242AA,216,221,190,-10,-5,LGA,DFW,1389,6,20,0,,0
1996,7,16,2,2040,2000,2253,2216,AA,2257,N410AA,133,136,105,37,40,ORD,DFW,802,11,17,0,,0
1996,7,29,1,1339,1341,1943,1927,AA,963,N432AA,244,226,176,16,-2,SFO,DFW,1464,32,36,0,,0
1996,7,6,6,1603,1605,1741,1745,NW,1521,N772NC,98,100,75,-4,-2,ALB,DTW,488,5,18,0,,0
1996,7,1,1,1256,1300,1615,1600,NW,243,N754NW,199,180,154,15,-4,FLL,DTW,1127,33,12,0,,0
